"run","all_cause_isolation","susceptibility","handHygieneIntervention","importationSurge","decayRate","ppeIsolationAdherenceProb","timeBetweenContamPulse","terminalRoomCleaning","output_event_file","scenario","surfaceTransferFraction","patientContamPerPulse","treatmentDuration","roomCleaningEfficacy","universalPpe","surveillanceSensitivity","surveillance","nearZoneContamPerPulse","ppeEfficacy","transferFractionRandom","isolateOnSuspicion","extra_samples","randomSeed","postVisitCleaning","farContamPerPulse","surveillanceSpecificity","decayRandom"
112,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543335772,0,2775,0.7,0
122,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543656501,0,3025,0.7,0
132,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,543987271,0,3275,0.7,0
142,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,544322738,0,3525,0.7,0
152,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,544646837,0,3775,0.7,0
162,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,544982736,0,4025,0.7,0
172,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,545318575,0,4275,0.7,0
182,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,545657250,0,4525,0.7,0
192,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,546023778,0,4775,0.7,0
202,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,546369564,0,5025,0.7,0
212,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,546701547,0,5275,0.7,0
222,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,547035290,0,5525,0.7,0
232,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,547364651,0,5775,0.7,0
242,0.2,0.025,0.0,0.0,1.0,0.6,2.0,0.8,"false",0,0.5,42000,10,0.5,"false",0.95,"true",17000,0.9,0,0,0,547695079,0,6025,0.7,0
