"run","susceptibility","hh","infRate","detections3Days","importationCount","meanLos","patientDays","patientDaysAtRisk","patientsIsolated","totalAcquisitions","admissionCount","acquirersWhoProgress","totalProgressions","grossInfRate","acquisitionRate","overallHHAdherence","nurseHHAdherence","cnaHHAdherence","doctorHHAdherence","ptHHAdherence","rtHHAdherence","ppeEfficacy","ppeAdherence","scenario","universalPpe","all_cause_isolation","surveillanceSensitivity","surveillanceSpecificity","isSurveillance"
145,0.025,0.0,226.98014916011488,203.0,0.0,8.537741371723756,15828.972503175844,8943.513375559598,890.0,1409.0,1871.0,198.0,203.0,128.24584789648924,890.13989993179,0.40864941896111334,0.415082651738497,0.43262987012987014,0.28343949044585987,0.4173477652602901,0.4372785609870915,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
155,0.025,0.0,201.88001213231925,180.0,0.0,8.386710361019663,15683.148375106768,8916.187298523722,931.0,1397.0,1889.0,179.0,181.0,115.41050028404631,890.7650215293519,0.40710661096556444,0.41286473058135903,0.4308684474269031,0.27907927791084886,0.4154993722458827,0.44267964330706716,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
165,0.025,0.0,250.5830630060702,214.0,0.0,8.49063483039107,15274.652059873535,8540.082375592001,838.0,1415.0,1815.0,212.0,214.0,140.10139095880118,926.3713467602976,0.4085382316302026,0.4147193844314498,0.4309792207225868,0.285487194583456,0.4135073135837794,0.44120666894832056,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
175,0.025,0.0,221.0079285081424,200.0,0.0,8.44813522862814,15806.46101276325,9049.449101217722,916.0,1384.0,1883.0,200.0,201.0,127.1631896840782,875.5913160336529,0.40739806443247323,0.4138003259859552,0.4277958267012625,0.28328454332552694,0.4111641409171423,0.44333349630860996,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
185,0.025,0.0,216.64444265942424,187.0,0.0,8.328590273073644,15141.377116447884,8631.65459978926,878.0,1337.0,1836.0,189.0,189.0,124.82352070518851,883.0108316552224,0.4087734577648122,0.4149221357488181,0.4300058681619613,0.2852837916910474,0.41334250343878953,0.4441566058947163,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
195,0.025,0.0,226.62745894175086,200.0,0.0,8.274753169169179,15639.283489729747,8825.055928081742,925.0,1458.0,1910.0,199.0,201.0,128.52251200126648,932.2677736211269,0.4078978851634515,0.41282655606740026,0.4307314551563712,0.2828889020280258,0.41854317847435224,0.4438778036342031,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
205,0.025,0.0,228.57262843876902,191.0,0.0,8.404925125750168,14952.36179870955,8356.206134767614,869.0,1336.0,1794.0,191.0,192.0,128.4078077996818,893.5043292727858,0.4077962291361795,0.41379178998449717,0.430959805959806,0.2813837584286133,0.41317394726485634,0.44325408472752176,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
215,0.025,0.0,195.60299676930367,169.0,0.0,8.235208162229123,15111.60697769044,8639.949427733996,877.0,1322.0,1855.0,165.0,169.0,111.83456547639042,874.8242340815866,0.4089485437444409,0.4154881408651991,0.4295231185278016,0.28387077635052954,0.41162529319781077,0.444623695338662,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
225,0.025,0.0,223.3960259737712,189.0,0.0,8.266967078014481,14954.943444128197,8460.31164503304,914.0,1340.0,1825.0,188.0,190.0,127.04829056013598,896.0247860556959,0.4075223787581206,0.4125345220769398,0.4303146800285091,0.2831925650992197,0.4189272884925059,0.4423602969910121,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
235,0.025,0.0,218.97171749155012,197.0,0.0,8.687588452569448,15663.721979982714,8996.59564517057,864.0,1423.0,1818.0,196.0,198.0,126.40673797264276,908.4686269448013,0.40881128470217915,0.4142722840297945,0.43521319896393357,0.28139062913615104,0.4168708950102931,0.44191043609903796,0.9,0.6,0.0,0.0,0.2,0.95,0.7,0.0
